feature,chi2,p_value
thal_7.0,39.24566760412482,3.736966425645114e-10
thal_3.0,31.049575844367048,2.515212844844784e-08
cp_4.0,29.6219889884012,5.25059132846131e-08
exang_1.0,28.79157145356778,8.060111682917999e-08
ca_0.0,19.668540213413344,9.210529023374586e-06
slope_1.0,17.121549293436637,3.506221912364198e-05
sex_0.0,15.687376580506355,7.472120216869547e-05
slope_2.0,15.455223162093382,8.448313972415263e-05
cp_2.0,14.423950668225483,0.00014593443340654258
exang_0.0,13.9541972075574,0.00018731896719374736
ca_2.0,13.06272869342098,0.0003012302671415852
cp_3.0,12.968369610068088,0.00031679777608838107
ca_1.0,10.38474294545157,0.001270608760876025
ca_3.0,10.137427503839714,0.001452887821126993
oldpeak,7.544053475851616,0.006020844153169661
sex_1.0,7.320775737569626,0.006816198457593105
restecg_2.0,3.329043884096283,0.06806643240619925
restecg_0.0,2.9039508695066334,0.08836273221487853
thalach,2.010533347572533,0.15621039313112334
cp_1.0,1.5623663036278552,0.2113190840206865
thal_6.0,1.39873461247507,0.2369355526605843
restecg_1.0,0.8473282442748092,0.35730926488322745
age,0.6992490361123502,0.4030361440867686
slope_3.0,0.6946049102537648,0.4046024825796116
fbs_1.0,0.43589259925137824,0.5091116143693546
trestbps,0.3537949724224835,0.5519727098073763
chol,0.07393595503776264,0.7856899396046996
fbs_0.0,0.0737016472164174,0.7860215162647239
